### 2023 40
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|CL|AVH (A & E)|Dog Bite
Battagram|360|57|524|10|2|2|2|0|0|3
Buner|370|84|0|16|0|0|58|0|0|0
Charsadda|1868|239|269|52|93|107|102|20|0|0
Chitral Lower|571|8|19|5|17|19|7|2|12|11
Chitral Upper|114|4|7|2|4|4|8|0|0|4
D.I. Khan|2911|211|0|18|41|26|1|93|2|0
Dir Lower|2014|72|0|92|73|9|19|22|9|0
Dir Upper|1484|5|21|21|38|95|12|6|0|0
Hangu|457|67|0|8|70|0|2|0|20|0
Haripur|1599|0|405|67|0|38|15|10|0|21
Karak|480|144|3|36|31|33|7|36|145|0
Khyber|712|237|54|36|122|47|37|0|47|2
Kohat|730|70|3|58|35|0|10|1|73|0
Kohistan Lower|104|0|0|0|2|0|1|1|0|0
Kohistan Upper|437|17|0|2|10|2|0|1|2|0
Kolai Palas|105|0|7|0|2|0|2|0|0|4
L & C Kurram|7|4|0|0|4|0|1|2|0|0
Lakki Marwat|812|158|0|83|10|2|10|5|0|0
Malakand|950|13|178|0|0|20|0|13|2|27
Mansehra|597|0|67|0|0|0|11|0|0|0
Mardan|2005|84|3|18|55|94|25|41|1|1
Mohmand|121|43|98|6|10|0|5|3|51|107
North Waziristan|68|75|3|3|8|3|9|19|3|4
Nowshera|2824|252|19|60|23|27|4|27|21|11
Orakzai|103|7|0|18|1|0|0|2|0|0
Peshawar|4980|18|362|15|91|35|20|60|0|0
Shangla|1318|489|0|230|5|20|18|3|0|0
South Waziristan (Lower)|107|67|112|12|39|9|10|5|13|106
SWU|22|3|4|0|0|0|0|0|0|0
Swabi|2175|89|522|167|16|12|2|33|0|73
Swat|2861|44|207|260|53|67|44|10|0|0
Tank|366|109|26|9|2|3|0|1|0|0
Tor Ghar|159|60|0|15|22|12|4|0|8|0
Upper Kurram|213|4|158|52|47|13|2|0|0|36
Total|36390|3728|3122|1491|972|750|528|525|440|436

### 2026 19
Districts|AD (Non-Cholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|Measles|Typhoid|SARI|CL
Abbottabad|1036|4|27|64|13|32|3|10|3|0
Bajaur|872|165|7|83|45|23|13|1|32|31
Bannu|1007|969|3|3|16|7|94|82|0|7
Battagram|407|46|386|7|2|2|6|2|5|0
Buner|480|123|0|0|0|0|0|2|0|0
Charsadda|2405|300|322|54|99|144|22|79|1|0
Chitral Lower|676|11|18|20|32|22|18|3|21|12
Chitral Upper|152|4|19|2|4|9|0|13|3|0
D.I. Khan|3074|323|0|27|40|25|80|1|0|3
Dir Lower|1922|72|0|59|90|4|25|28|0|2
Dir Upper|1117|11|41|11|21|2|0|3|0|0
Hangu|486|91|5|30|44|1|12|2|0|9
Haripur|1865|4|337|81|9|61|10|7|10|0
Karak|650|119|15|39|29|37|32|7|0|120
Khyber|723|268|38|29|158|19|0|28|3|16
Kohat|890|61|4|41|68|0|4|12|0|68
Kohistan Lower|123|0|0|0|2|0|0|5|0|0
Kohistan Upper|364|1|0|1|13|2|0|0|0|0
Kolai Palas|83|1|8|0|3|2|0|1|0|0
L & C Kurram|43|0|4|3|2|0|0|0|0|0
Lakki Marwat|921|160|0|97|9|3|3|9|0|2
Malakand|997|19|140|0|0|13|11|0|24|1
Mansehra|872|2|77|0|1|0|0|1|0|0
Mardan|2039|121|11|22|68|77|28|29|0|0
Mohmand|121|122|110|8|3|1|8|5|122|46
North Waziristan|65|84|5|1|8|8|21|15|3|7
Nowshera|2887|336|23|98|34|24|9|5|12|11
Orakzai|141|14|7|13|1|0|1|0|0|0
Peshawar|6153|28|261|16|131|21|58|45|0|1
Shangla|1479|772|0|308|5|10|7|36|0|1
South Waziristan (Lower)|67|77|115|17|42|15|11|11|117|16
SWU|41|21|2|0|0|0|0|0|1|0
Swabi|2436|69|558|126|28|18|39|3|59|0
Swat|3886|22|52|158|27|86|4|25|0|0
Tank|560|128|24|10|2|4|3|0|0|0
Tor Ghar|139|62|0|15|21|12|2|4|0|4
Upper Kurram|249|15|177|102|37|19|0|12|31|0
Total|41428|4625|2796|1545|1107|703|524|486|447|357

### 2026 20
Districts|AD (NonCholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|Measles|Typhoid|SARI|CL
Abbottabad|1095|14|57|68|3|31|14|12|24|0
Bajaur|1017|242|3|111|52|11|18|4|30|25
Bannu|992|1062|4|2|14|7|108|94|0|12
Battagram|470|57|602|5|3|3|0|3|4|0
Buner|473|122|0|43|0|0|1|1|0|0
Charsadda|2031|361|258|41|75|114|23|67|0|0
Chitral Lower|808|13|27|5|37|11|3|8|12|7
Chitral Upper|193|5|13|5|4|12|0|10|2|1
D.I. Khan|2936|367|0|44|33|23|89|2|0|3
Dir Lower|2090|78|0|84|97|8|30|25|0|8
Dir Upper|1618|10|31|21|39|49|11|19|0|0
Hangu|359|100|1|30|24|0|1|5|0|8
Haripur|2137|4|261|76|3|49|4|0|0|0
Karak|665|167|21|48|45|36|26|4|0|149
Khyber|717|334|25|46|157|79|3|73|2|32
Kohat|866|82|0|23|62|0|0|9|0|33
Kohistan Lower|96|1|0|0|4|0|0|1|0|0
Kohistan Upper|394|13|0|1|22|0|1|0|0|0
Kolai Palas|92|1|6|0|0|0|0|0|4|0
L & C Kurram|54|0|2|0|1|0|0|0|0|0
Lakki Marwat|794|222|0|108|8|0|5|9|0|1
Malakand|1505|39|168|0|0|12|7|2|18|0
Mansehra|889|2|128|0|26|0|0|12|9|0
Mardan|2615|216|1|19|88|65|8|2|0|3
Mohmand|146|104|125|21|12|0|4|1|117|51
North Waziristan|80|108|4|0|10|16|14|17|9|1
Nowshera|2701|304|27|103|27|26|23|6|10|23
Orakzai|188|14|6|14|9|0|0|0|0|0
Peshawar|6492|33|457|19|116|15|78|30|0|0
Shangla|1268|927|0|251|2|7|6|10|0|0
South Waziristan (Lower)|157|108|126|25|70|33|11|10|113|27
SWU|27|2|2|0|0|0|0|0|0|0
Swabi|2716|86|552|142|40|28|30|4|70|0
Swat|3815|35|252|240|56|97|6|42|0|0
Tank|503|145|21|3|2|5|0|0|0|0
Tor Ghar|163|63|0|12|24|18|1|4|0|7
Upper Kurram|209|15|90|36|21|16|0|21|9|0
Total|43371|5456|3270|1646|1186|771|525|507|433|391

### 2026 21
Districts|AD (NonCholera)|Malaria|ILI|B. Diarrhea|Animal / Dog Bite|ALRI < 5 years|Measles|SARI|Typhoid|CL
Abbottabad|1131|4|32|10|55|23|15|14|8|1
Bajaur|910|207|2|49|77|17|15|37|1|23
Bannu|1068|885|2|21|2|7|110|6|91|3
Battagram|399|54|523|0|4|10|10|0|0|0
Buner|490|113|0|0|0|0|0|0|0|0
Charsadda|2214|324|314|126|43|125|9|0|108|0
Chitral Lower|654|19|15|41|3|19|5|7|2|8
Chitral Upper|198|7|9|4|2|2|0|6|13|1
D.I. Khan|2580|435|0|39|37|14|102|0|0|1
Dir Lower|1962|107|0|90|57|3|17|0|32|1
Dir Upper|1282|8|21|31|21|89|8|0|21|0
Hangu|283|114|0|26|27|0|1|0|2|13
Haripur|1947|5|116|0|79|21|5|0|0|0
Karak|729|187|18|1175|33|37|22|0|7|153
Khyber|731|315|16|179|34|23|7|5|19|23
Kohat|821|113|0|56|13|1|1|0|15|58
Kohistan Lower|63|1|0|2|0|0|0|0|0|0
Kohistan Upper|451|7|0|18|4|0|1|0|1|0
Kolai Palas|88|0|7|1|0|1|0|2|0|0
L & C Kurram|17|0|0|2|0|0|0|0|0|0
Lakki Marwat|773|215|6|7|91|2|5|0|14|0
Malakand|1795|21|53|0|0|6|16|7|0|4
Mansehra|1077|0|120|27|0|7|0|0|17|0
Mardan|2059|222|1|53|33|66|5|0|0|2
Mohmand|151|72|157|5|5|0|4|127|5|39
North Waziristan|69|85|7|6|0|13|9|14|16|0
Nowshera|2587|326|26|33|111|20|29|12|11|28
Orakzai|130|6|4|9|8|0|0|0|0|0
Peshawar|5525|41|226|92|19|11|50|0|20|0
Shangla|1092|331|0|3|240|6|4|0|5|0
South Waziristan (Lower)|83|96|153|34|0|21|20|144|3|39
SWU|53|17|9|0|0|2|0|0|0|0
Swabi|2690|111|441|32|33|26|37|74|7|0
Swat|3779|21|176|106|257|66|1|0|35|0
Tank|485|163|18|6|0|6|2|0|0|0
Tor Ghar|214|61|0|29|15|8|0|0|3|10
Upper Kurram|228|21|176|29|28|20|1|32|5|0
Total|40808|4714|2648|2341|1331|672|511|487|461|407

### 2026 22
Districts|AD (Non-Cholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|SARI|Measles|Typhoid|CL
Abbottabad|812|3|24|64|4|20|8|12|7|0
Bajaur|605|128|0|32|36|19|19|6|0|5
Bannu|448|562|1|1|8|5|8|90|47|3
Battagram|217|36|168|5|0|0|0|0|0|0
Buner|209|80|0|12|0|0|0|0|3|0
Charsadda|802|108|170|42|25|96|1|9|49|0
Chitral Lower|943|5|19|4|35|8|18|1|8|1
Chitral Upper|123|6|13|4|5|2|5|0|5|1
D.I. Khan|1647|204|0|26|17|12|0|35|1|1
Dir Lower|1709|44|0|73|50|7|0|8|2|3
Dir Upper|1239|5|16|14|19|82|0|2|5|0
Hangu|231|74|1|20|5|1|0|2|2|0
Haripur|884|3|139|68|3|17|0|3|10|0
Karak|296|54|10|19|26|18|0|4|3|89
Khyber|560|151|16|59|97|3|4|0|18|51
Kohat|290|25|0|26|28|0|0|0|3|16
Kohistan Lower|27|2|0|0|3|0|0|0|2|0
Kohistan Upper|205|5|0|1|19|0|0|0|0|0
Kolai Palas|66|0|6|0|0|0|10|0|0|0
L & C Kurram|7|2|0|0|4|0|0|0|1|0
Lakki Marwat|466|116|5|88|6|1|0|2|8|0
Malakand|1464|7|155|0|0|2|3|5|0|3
Mansehra|529|1|53|0|44|0|2|0|5|0
Mardan|1271|124|2|16|41|37|0|15|16|1
Mohmand|123|55|67|10|3|0|75|3|0|22
North Waziristan|11|36|1|0|0|7|2|7|5|0
Nowshera|1593|181|11|34|27|7|5|3|6|10
Orakzai|3|0|0|0|3|0|0|0|0|0
Peshawar|2360|15|102|14|38|13|0|46|14|0
Shangla|1264|460|0|197|9|5|0|4|7|0
South Waziristan (Lower)|84|98|77|19|58|12|89|1|9|7
SWU|0|0|0|0|0|0|0|0|0|0
Swabi|1627|50|261|131|12|6|36|17|1|0
Swat|2370|15|141|229|44|41|0|3|12|0
Tank|228|70|15|3|0|8|0|0|0|0
Tor Ghar|101|31|0|8|12|4|0|0|2|3
Upper Kurram|114|4|48|18|12|0|41|0|1|0
Total|24928|2760|1521|1237|693|433|326|278|252|216

### 2026 23
Districts|AD (NonCholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|Typhoid|Measles|SARI|CL
Abbottabad|1485|5|33|84|16|38|13|19|20|1
Bajaur|1177|306|2|81|70|12|1|22|28|43
Bannu|1036|985|5|1|16|9|97|95|8|7
Battagram|539|105|517|5|0|0|0|0|0|0
Buner|417|221|0|19|0|0|3|0|0|0
Charsadda|2705|345|535|6|98|161|124|23|0|0
Chitral Lower|1165|19|12|15|48|12|10|7|12|11
Chitral Upper|229|5|15|4|3|8|15|0|5|0
D.I. Khan|2649|509|0|26|24|18|1|68|0|1
Dir Lower|2469|169|0|73|98|5|35|27|0|15
Dir Upper|3037|19|32|18|49|83|19|6|0|0
Hangu|286|100|41|3|0|0|1|0|0|12
Haripur|2328|0|501|99|5|17|10|5|2|0
Karak|639|186|11|26|37|25|3|25|0|59
Khyber|962|601|15|85|163|48|26|1|11|60
Kohat|809|119|0|21|43|0|4|3|0|56
Kohistan Lower|117|2|0|0|4|0|4|0|0|0
Kohistan Upper|409|5|0|2|27|1|0|3|0|0
Kolai Palas|89|2|5|0|3|2|1|0|4|0
L & C Kurram|11|0|1|1|2|0|0|0|0|0
Lakki Marwat|744|281|5|94|8|0|16|4|0|0
Malakand|1538|34|160|0|0|1|0|30|7|0
Mansehra|1410|5|79|0|5|24|16|0|22|0
Mardan|2408|300|27|27|71|115|36|21|0|2
Mohmand|121|97|88|18|5|0|5|6|69|52
North Waziristan|8|69|3|0|2|3|6|1|4|2
Nowshera|2858|420|9|99|39|17|7|4|12|29
Orakzai|174|11|4|0|1|0|0|0|0|0
Peshawar|5318|47|204|31|160|17|50|55|0|0
Shangla|1677|517|0|169|12|9|21|8|0|0
South Waziristan (Lower)|121|164|148|17|78|27|12|10|111|34
SWU|44|4|8|0|0|0|0|0|0|0
Swabi|2559|119|626|127|33|27|8|32|67|0
Swat|4582|41|247|231|64|88|24|9|0|0
Tank|415|160|17|5|8|5|2|0|0|0
Tor Ghar|172|73|0|4|25|11|3|1|0|4
Upper Kurram|159|11|51|19|22|0|2|0|31|0
Total|46866|6056|3401|1410|1239|783|575|485|413|388

### 2026 24
Districts|AD (NonCholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|Typhoid|CL|Measles|SARI
Abbottabad|1427|7|39|74|19|29|12|0|16|5
Bajaur|1174|399|4|74|75|9|3|31|9|26
Bannu|1218|977|4|10|29|12|81|3|67|10
Battagram|437|68|549|4|0|3|5|0|5|0
Buner|667|226|0|24|0|0|4|0|0|0
Charsadda|2697|285|363|28|100|153|105|1|13|0
Chitral Lower|1313|18|18|9|55|6|8|8|9|18
Chitral Upper|235|6|15|6|5|6|15|1|0|5
D.I. Khan|2186|587|0|22|28|9|2|3|62|0
Dir Lower|2109|148|0|88|112|6|38|10|23|0
Dir Upper|1687|9|33|15|20|6|3|0|1|0
Hangu|324|79|47|39|0|0|2|15|0|0
Haripur|2374|7|542|94|5|8|4|0|5|0
Karak|758|229|15|55|116|69|22|80|17|0
Khyber|1090|679|26|67|121|21|49|124|1|4
Kohat|817|173|0|30|68|4|29|45|1|0
Kohistan Lower|116|5|0|0|5|0|0|0|0|0
Kohistan Upper|433|13|0|0|27|3|0|0|4|15
Kolai Palas|124|0|8|0|2|0|0|0|0|0
L & C Kurram|58|12|6|4|15|0|2|0|0|0
Lakki Marwat|693|288|6|78|5|6|15|0|5|0
Malakand|1980|43|336|22|0|1|0|0|15|1
Mansehra|1874|7|414|0|19|5|18|0|1|35
Mardan|2007|355|17|28|87|86|46|1|35|0
Mohmand|140|108|94|9|8|2|5|54|8|83
North Waziristan|37|88|3|1|5|8|11|1|9|6
Nowshera|2857|503|21|97|41|22|6|33|5|14
Orakzai|199|16|5|7|7|0|0|0|0|0
Peshawar|6615|58|163|23|137|34|49|0|61|1
Shangla|2022|473|0|210|30|17|11|0|3|0
South Waziristan (Lower)|211|157|214|26|100|24|9|33|21|102
SWU|35|0|15|0|0|0|0|0|0|0
Swabi|2694|107|529|142|13|19|8|0|27|76
Swat|4932|34|36|182|74|57|33|0|4|0
Tank|492|216|19|0|6|4|2|1|2|0
Tor Ghar|182|111|0|9|34|5|3|16|0|0
Upper Kurram|210|13|44|13|21|4|11|0|0|23
Total|48425|6504|3585|1490|1389|638|611|460|429|424

### 2026 25
Districts|AD (Non-Cholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|Typhoid|ALRI < 5 years|Measles|CL|TB
Abbottabad|1199|2|24|48|9|11|20|10|0|15
Bajaur|1065|358|1|99|55|2|14|17|26|12
Bannu|1025|952|4|4|28|97|5|70|8|18
Battagram|415|75|453|12|2|19|2|8|0|6
Buner|470|136|0|17|0|4|0|0|0|7
Charsadda|2921|345|511|35|85|127|113|13|0|5
Chitral Lower|1061|18|15|15|34|9|8|1|9|3
Chitral Upper|198|11|18|7|3|12|6|2|0|1
D.I. Khan|1947|556|0|38|28|5|14|60|0|15
Dir Lower|2178|152|0|91|115|32|6|19|11|2
Dir Upper|1941|16|26|21|28|11|57|7|0|4
Hangu|261|132|37|30|0|0|0|11|10|0
Haripur|1946|1|293|72|3|4|2|5|0|3
Karak|607|180|20|43|51|7|45|19|53|8
Khyber|917|620|53|72|132|49|37|2|44|11
Kohat|809|193|0|52|38|25|2|1|35|1
Kohistan Lower|129|3|0|0|5|4|0|0|0|0
Kohistan Upper|252|12|0|1|5|0|2|1|0|0
Kolai Palas|126|1|4|0|2|0|0|0|0|0
L & C Kurram|26|9|6|0|6|3|0|0|0|0
Lakki Marwat|647|259|0|68|5|21|3|5|0|3
Malakand|1332|21|77|7|0|0|0|5|0|5
Mansehra|1483|5|323|0|22|5|8|0|0|2
Mardan|2006|332|37|19|73|35|115|32|3|1
Mohmand|68|76|11|1|3|3|0|1|11|0
North Waziristan|100|99|3|1|7|11|0|8|6|0
Nowshera|2672|418|15|19|35|12|24|20|30|20
Orakzai|138|12|3|0|0|0|0|0|0|0
Peshawar|5588|67|196|24|145|31|33|69|0|15
Shangla|1460|476|0|196|10|36|9|4|0|62
South Waziristan (Lower)|196|171|206|22|108|9|16|11|29|13
SWU|22|4|2|0|0|0|0|0|0|0
Swabi|2623|108|553|142|27|6|14|23|0|21
Swat|4526|65|154|171|65|28|10|14|0|6
Tank|422|205|21|0|7|3|3|0|1|4
Tor Ghar|173|92|0|11|24|12|6|1|5|6
Upper Kurram|185|7|36|1|16|14|12|0|0|0
Total|43134|6189|3102|1339|1176|647|586|439|281|269

### 2026 27
Districts|AD (Non-Cholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|Typhoid|SARI|Measles|CL
Abbottabad|1563|5|33|57|20|32|4|15|9|0
Bajaur|1161|355|3|123|66|16|4|6|17|36
Bannu|1168|622|13|2|15|5|93|8|66|4
Battagram|363|73|556|1|1|6|13|0|12|0
Buner|353|101|0|16|0|0|0|0|1|0
Charsadda|2880|199|385|6|95|161|104|0|7|0
Chitral Lower|1155|19|16|18|53|7|4|6|1|7
Chitral Upper|196|7|18|5|7|3|14|5|0|1
D.I. Khan|1997|508|0|29|23|11|7|0|50|2
Dir Lower|2263|145|0|77|92|5|33|0|24|13
Dir Upper|2101|25|35|37|60|72|18|0|9|0
Hangu|224|70|6|0|0|0|1|0|1|7
Haripur|2132|0|398|49|9|23|9|55|5|0
Karak|592|193|48|38|34|42|13|0|9|92
Khyber|879|650|7|43|107|45|33|2|0|113
Kohat|832|174|0|23|20|0|13|0|0|22
Kohistan Lower|87|1|0|0|10|0|3|0|0|0
Kohistan Upper|269|8|0|2|16|2|0|0|6|0
Kolai Palas|89|9|8|0|2|1|0|0|0|0
L & C Kurram|29|3|19|2|19|2|3|0|0|0
Lakki Marwat|660|208|0|97|2|3|23|0|1|1
Malakand|996|56|157|3|0|1|2|2|18|1
Mansehra|1790|1|555|0|46|0|4|0|0|0
Mardan|2051|277|3|20|48|86|64|26|13|0
Mohmand|52|72|2|2|0|0|1|0|1|8
North Waziristan|79|69|1|0|0|6|7|8|10|1
Nowshera|2791|171|15|98|31|28|5|13|4|24
Orakzai|184|10|3|0|0|0|0|0|0|0
Peshawar|5841|71|225|32|96|28|62|0|58|0
Shangla|1480|584|0|191|9|37|41|0|6|0
South Waziristan (Lower)|134|124|198|20|57|5|7|196|17|13
SWU|42|5|3|0|0|0|0|0|0|0
Swabi|2758|112|567|129|34|15|4|91|12|0
Swat|5673|101|193|189|135|75|8|0|15|0
Tank|380|191|21|3|7|3|3|3|0|0
Tor Ghar|228|79|0|10|24|6|7|0|1|1
Upper Kurram|231|24|49|21|23|10|13|40|0|0
Total|45703|5322|3537|1343|1161|736|620|476|373|346

### 2026 28
Districts|AD (NonCholera)|Malaria|ILI|Animal / Dog Bite|B. Diarrhea|ALRI < 5 years|Typhoid|CL|Measles|SARI
Abbottabad|1584|17|28|55|15|13|8|1|16|3
Bajaur|1025|377|1|149|55|12|1|35|12|5
Bannu|1122|767|4|23|16|5|82|7|42|0
Battagram|623|40|586|5|5|9|2|0|19|3
Buner|617|73|16|NR|20|91|6|NR|1|NR
Charsadda|3101|314|249|12|84|130|85|1|15|0
Chitral Lower|1322|16|11|16|43|14|9|11|8|13
Chitral Upper|249|5|14|4|7|3|17|1|1|3
D.I. Khan|1924|478|0|40|22|21|2|2|40|0
Dir Lower|2345|141|0|66|149|4|38|14|25|0
Dir Upper|2340|25|33|23|30|41|11|0|16|0
Hangu|265|57|0|9|27|0|22|28|0|0
Haripur|1852|4|219|59|5|3|14|0|8|0
Karak|702|163|35|49|56|43|16|133|27|0
Khyber|952|698|36|48|174|38|27|103|1|4
Kohat|903|198|0|43|41|0|8|39|2|0
Kohistan Lower|134|2|0|1|9|0|7|0|0|0
Kohistan Upper|375|16|0|0|16|5|0|0|1|0
Kolai Palas|71|1|11|0|0|0|0|0|0|0
L & C Kurram|64|17|13|0|10|0|2|1|0|4
Lakki Marwat|668|260|0|121|2|0|20|0|2|0
Malakand|1014|35|26|28|0|1|0|1|11|4
Mansehra|1805|4|466|0|54|4|0|0|0|0
Mardan|2258|346|48|45|83|46|62|0|2|0
Mohmand|152|133|109|10|8|1|0|26|2|113
North Waziristan|88|91|2|1|0|5|13|1|9|13
Nowshera|2753|178|10|108|30|19|8|17|6|1
Orakzai|101|7|0|0|1|0|0|0|0|0
Peshawar|5407|63|217|17|183|15|59|0|45|0
Shangla|1730|490|0|166|9|5|26|0|3|0
South Waziristan (Lower)|257|189|271|13|95|7|3|16|12|59
SWU|26|7|5|0|0|0|0|0|0|0
Swabi|2852|118|481|192|20|18|4|0|11|68
Swat|5454|47|33|163|99|43|8|0|6|0
Tank|564|243|19|3|3|2|0|0|0|0
Tor Ghar|255|124|0|9|38|0|5|4|0|0
Upper Kurram|318|20|65|11|27|8|14|0|0|12
Total|47272|5764|3008|1489|1436|606|579|441|343|305

### 2024 19
Districts|AD (NonCholera)|ILI|Malaria|ALRI <5 Years|SARI|B. Diarrhea|Dog Bite|Typhoid|TB|Measles
Abbottabad|603|45|10|26|15|1|5|17|13|25
Bajaur|973|76|278|241|30|72|36|6|26|37
Bannu|881|6|1539|14|0|23|5|81|35|15
Battagram|82|179|0|0|0|0|0|0|0|0
Buner|466|0|226|56|0|1|54|16|2|1
Charsadda|586|276|183|24|6|16|2|16|1|2
Chitral Lower|270|49|6|36|18|27|10|12|7|3
Chitral Upper|103|15|7|9|5|6|0|15|1|0
D.I. Khan|2174|0|247|19|0|24|1|0|27|87
Dir Lower|1079|2|190|123|0|73|11|41|18|7
Dir Upper|408|124|7|3|1|1|0|28|22|7
Hangu|10|6|23|0|0|0|0|0|0|0
Haripur|1529|424|20|67|7|79|0|41|42|27
Karak|314|11|161|17|0|0|24|6|15|49
Khyber|363|41|102|8|20|47|47|58|15|2
Kohat|42|29|57|1|4|0|0|0|0|0
Kohistan Lower|143|0|1|4|0|9|4|0|0|1
Kohistan Upper|360|21|2|9|20|23|5|30|25|3
Kolai Palas|90|0|0|15|2|12|0|5|1|0
L & C Kurram|16|51|0|0|0|4|0|0|0|0
Lakki Marwat|778|2|198|4|0|14|42|5|10|8
Malakand|686|44|39|54|39|65|0|16|3|18
Mansehra|940|688|2|75|57|13|85|21|19|7
Mardan|835|0|5|254|0|7|0|0|16|0
Mohmand|207|72|187|3|45|33|10|7|7|4
NWA|73|0|0|0|0|0|0|0|0|10
Nowshera|2139|48|53|2|6|24|8|7|24|23
Orakzai|42|18|28|0|0|7|2|0|0|0
Peshawar|4018|639|54|44|56|231|4|58|40|63
SD Peshawar|3|0|1|0|0|0|0|0|0|0
SD Tank|20|0|52|0|0|1|1|3|0|0
Shangla|392|0|285|14|0|0|22|18|44|1
SWA|76|234|131|61|131|11|6|37|0|2
Swabi|1737|1139|62|222|133|32|180|16|88|46
Swat|2153|131|35|60|19|126|72|29|13|1
Tank|274|68|304|11|0|0|0|18|10|31
Tor Ghar|84|0|46|2|12|14|17|3|0|0
Upper Kurram|138|378|47|17|523|43|12|5|4|11
Total|25087|4816|4588|1495|1149|1039|665|615|528|491

### 2024 20
Districts|AD (NonCholera)|Malaria|ILI|ALRI <5 Years|SARI|B. Diarrhea|Typhoid|Dog Bite|TB|Measles
Abbottabad|729|20|57|19|10|1|21|6|36|10
Bajaur|909|318|29|334|33|59|13|37|43|22
Bannu|1099|1725|14|20|12|22|84|1|32|24
Battagram|117|0|188|0|0|0|0|0|0|0
Buner|571|252|0|28|0|0|19|5|1|4
Charsadda|1715|273|419|257|4|144|84|1|6|19
Chitral Lower|320|19|60|28|62|28|9|12|7|3
Chitral Upper|114|7|11|6|7|5|13|0|2|0
D.I. Khan|1991|291|0|4|0|29|0|8|28|92
Dir Lower|1080|234|2|108|1|69|66|6|10|10
Dir Upper|360|20|45|14|0|1|39|0|35|2
Hangu|12|35|10|0|0|0|0|0|0|0
Haripur|1777|22|419|49|5|57|40|0|25|24
Karak|276|132|2|20|0|0|6|23|9|39
Khyber|404|121|38|16|31|81|32|24|14|4
Kohat|49|58|59|0|5|0|2|0|0|0
Kohistan Lower|166|2|0|5|0|9|0|4|0|2
Kohistan Upper|397|7|25|7|0|51|29|2|0|0
Kolai Palas|89|3|0|13|10|14|14|0|2|0
L & C Kurram|20|7|49|0|0|12|1|0|0|0
Lakki Marwat|759|247|3|6|0|26|8|44|12|7
Malakand|868|6|54|25|12|50|15|0|4|8
Mansehra|829|1|603|57|82|7|11|50|6|6
Mardan|968|13|0|369|0|16|0|1|10|2
Mohmand|241|180|64|2|36|22|4|6|1|2
NWA|36|4|0|2|2|12|0|0|0|4
Nowshera|2248|80|51|2|6|81|20|9|21|23
Orakzai|55|29|20|2|0|23|1|46|1|4
Peshawar|3926|79|525|82|263|250|70|26|41|53
SD Peshawar|5|1|0|0|0|1|0|0|0|0
SD Tank|8|43|0|0|0|1|0|1|0|0
Shangla|596|302|0|20|0|3|17|21|46|6
SWA|95|129|160|43|113|26|40|9|2|4
Swabi|2160|72|989|276|177|39|27|183|91|55
Swat|2530|41|179|57|0|59|21|87|14|2
Tank|571|115|43|29|0|2|39|2|3|24
Tor Ghar|88|77|0|5|15|18|5|10|0|0
Upper Kurram|182|41|346|13|519|66|15|11|10|6
Total|28360|5006|4464|1918|1405|1284|765|635|512|461

### 2024 21
Districts|AD (NonCholera)|Malaria|ILI|B. Diarrhea|ALRI <5 Years|SARI|Typhoid|Dog Bite|Measles|TB
Abbottabad|1184|39|96|17|53|32|31|24|14|31
Bajaur|685|323|33|51|229|48|2|16|26|25
Bannu|843|1720|4|25|14|5|76|2|38|29
Battagram|117|0|144|0|0|0|0|0|0|0
Buner|639|294|0|2|0|0|15|0|0|0
Charsadda|1758|320|402|248|66|3|66|0|29|2
Chitral Lower|272|15|50|21|22|15|12|11|3|6
Chitral Upper|152|9|13|6|7|6|17|3|1|4
D.I. Khan|1853|330|0|25|14|0|0|3|88|40
Dir Lower|1094|202|3|84|97|0|95|13|9|12
Dir Upper|463|14|63|4|8|0|7|0|6|16
Haripur|1738|30|320|37|79|24|35|13|30|27
Karak|350|212|37|0|17|0|13|42|27|10
Khyber|381|178|15|106|30|18|56|36|6|11
Kohat|57|57|22|0|2|2|1|1|3|0
Kohistan Lower|259|3|0|7|4|0|0|0|0|0
Kohistan Upper|733|3|35|12|18|0|20|2|2|21
Kolai Palas|62|5|0|16|9|5|3|0|0|3
L & C Kurram|19|0|57|2|0|0|0|0|0|0
Lakki Marwat|779|215|0|20|2|0|12|28|7|7
Malakand|909|18|67|62|28|27|10|0|14|4
Mansehra|865|5|514|15|85|41|29|0|9|21
Mardan|1386|21|11|26|255|0|0|6|3|11
Mohmand|272|179|60|56|4|23|6|8|8|3
NWA|3|3|0|7|3|15|1|0|7|0
Nowshera|2808|80|45|54|2|5|27|16|36|5
Orakzai|53|26|10|11|0|0|1|0|2|0
Peshawar|4774|87|658|323|86|61|108|0|65|34
SD Peshawar|0|1|0|0|0|0|0|0|0|0
SD Tank|18|37|0|0|0|0|1|0|0|0
